experiment,epoch,lr,loss,acc,val_loss,val_acc
3.0,1.0,0.0001,2.875093220880157,0.24848707133687878,3.9810668528079987,0.39374999999999993
3.0,2.0,0.0001,1.5177318089102443,0.5125618925362186,2.9585272520780563,0.5923611111111111
3.0,3.0,0.0001,1.1463619298056553,0.6343297267559141,2.6880415827035904,0.6588293650793651
3.0,4.0,0.0001,0.8240130133926868,0.7454612140106364,2.6268161833286285,0.7075396825396826
3.0,5.0,0.0001,0.6465924471420678,0.7966257106180085,2.478922411799431,0.6901785714285714
3.0,6.0,0.0001,0.5077666878014019,0.8479735925178801,2.2219333797693253,0.714484126984127
3.0,7.0,0.0001,0.37168420652711864,0.8844672657252889,2.574050471186638,0.7145833333333335
3.0,8.0,0.0001,0.27858242714826603,0.9138089125252155,2.4494424760341644,0.7356150793650794
3.0,9.0,0.0001,0.2379188387605705,0.9255455712451861,2.392135441303253,0.7461309523809525
3.0,10.0,0.0001,0.19943970914525716,0.938382541720154,2.589333012700081,0.7353174603174604
3.0,11.0,0.0001,0.16816383576339208,0.9473684210526315,2.959904283285141,0.7351190476190477
3.0,12.0,0.0001,0.16045761446921938,0.9541536768751147,3.2155246436595917,0.7074404761904762
3.0,13.0,0.0001,0.1420599122357089,0.9570878415551073,3.4379817247390747,0.7560515873015874
3.0,14.0,0.0001,0.15054610573018803,0.9543370621676142,3.1385615468025208,0.745734126984127
3.0,15.0,0.0001,0.16205543359989716,0.9585549238951037,3.5073868483304977,0.7491071428571429
3.0,16.0,0.0001,0.14427583699810048,0.9598386209426004,3.0705963522195816,0.7595238095238096
3.0,17.0,0.0001,0.08598046303316216,0.9745094443425637,3.8424799740314484,0.725
3.0,18.0,0.0001,0.1257074948476465,0.9666238767650834,3.7287002503871918,0.7107142857142857
3.0,19.0,0.0001,0.16252091507646438,0.95598752980011,4.234812676906586,0.7354166666666667
3.0,20.0,0.0001,0.163532606972455,0.9614890885750963,4.652675211429596,0.7109126984126984
3.0,21.0,0.0001,0.16221924893321366,0.9594718503576013,4.2067267298698425,0.7386904761904762
3.0,22.0,0.0001,0.1283845158770993,0.9679075738125802,4.387563019990921,0.7560515873015873
3.0,23.0,0.0001,0.13163729074944727,0.9660737208875848,4.705130934715271,0.7317460317460318
3.0,24.0,0.0001,0.1763907025786849,0.9609389326975977,3.8185660541057587,0.7595238095238095
3.0,25.0,0.0001,0.10264130066170644,0.9748762149275628,4.732883006334305,0.7317460317460317
3.0,26.0,0.0001,0.10476256329034665,0.9739592884650651,4.869254529476166,0.7354166666666667
3.0,27.0,0.0001,0.08485275014990334,0.9789106913625527,5.086485534906387,0.7354166666666667
3.0,28.0,0.0001,0.09849483047089866,0.9781771501925546,4.5005302131175995,0.7424603174603174
3.0,29.0,0.0001,0.11479618919516472,0.973225747295067,4.738179951906204,0.745734126984127
3.0,30.0,0.0001,0.09934166229115099,0.9757931413900606,4.828615039587021,0.7422619047619048
3.0,31.0,0.0001,0.08157881776234775,0.9822116266275445,5.099501520395279,0.735515873015873
3.0,32.0,0.0001,0.13218093734037,0.9728589767100678,4.663143366575241,0.7599206349206349
3.0,33.0,0.0001,0.10134266603433895,0.9774436090225563,4.460637092590332,0.7768849206349207
3.0,34.0,0.0001,0.06708685810321706,0.9842288648450395,4.76925602555275,0.7665674603174604
3.0,35.0,0.0001,0.1207544200238556,0.9737759031725656,5.511244744062424,0.7385912698412699
3.0,36.0,0.0001,0.1120277001855104,0.9757931413900606,5.09763777256012,0.7597222222222222
3.0,37.0,0.0001,0.07816106614202606,0.9816614707500458,5.156731337308884,0.7735119047619048
3.0,38.0,0.0001,0.10605319140591207,0.9781771501925546,5.87129345536232,0.7282738095238096
3.0,39.0,0.0001,0.10644627804719536,0.9789106913625527,5.556505918502808,0.766765873015873
3.0,40.0,0.0001,0.07676886228738254,0.982395011920044,5.9894759953022,0.7282738095238096
3.0,41.0,0.0001,0.0796354298924107,0.9847790207225381,6.167202681303024,0.7629960317460317
3.0,42.0,0.0001,0.1031177213871346,0.9825783972125436,6.656067579984665,0.7491071428571429
3.0,43.0,0.0001,0.09982440375371873,0.9807445442875481,5.939249038696289,0.7700396825396826
3.0,44.0,0.0001,0.0933206107776957,0.9836787089675408,6.439019083976746,0.7630952380952382
3.0,45.0,0.0001,0.1089235103144917,0.9807445442875481,6.688011109828949,0.766468253968254
3.0,46.0,0.0001,0.09218373963744175,0.982395011920044,6.88671338558197,0.773611111111111
3.0,47.0,0.0001,0.1162927636652427,0.9790940766550522,6.638346195220947,0.7665674603174604
3.0,48.0,0.0001,0.08704475916705832,0.9849624060150376,7.2113038301467896,0.7490079365079365
3.0,49.0,0.0001,0.07912531402904863,0.9855125618925362,6.770787209272385,0.7528769841269841
3.0,50.0,0.0001,0.06500169792651984,0.9858793324775353,6.14989560842514,0.7561507936507936
3.0,51.0,0.0001,0.08270450002306222,0.9862461030625344,6.38799262046814,0.7665674603174603
3.0,52.0,0.0001,0.04985973746050097,0.9889968824500275,7.4627222418785095,0.7561507936507936
3.0,53.0,0.0001,0.06025330100475832,0.9897304236200257,7.066743969917297,0.7596230158730158
3.0,54.0,0.0001,0.07686517288956418,0.9869796442325326,5.878497421741486,0.7526785714285714
3.0,55.0,0.0001,0.05051586276703935,0.9891802677425271,6.7645887434482574,0.7527777777777778
3.0,56.0,0.0001,0.07157173559765644,0.9884467265725289,6.175833761692047,0.7805555555555556
3.0,57.0,0.0001,0.10577981362985416,0.9829451677975426,6.875962436199188,0.7770833333333332
3.0,58.0,0.0001,0.07545851516511301,0.986796258940033,6.567830324172974,0.7527777777777779
3.0,59.0,0.0001,0.060813790566283644,0.9895470383275261,7.333138942718506,0.7700396825396826
3.0,60.0,0.0001,0.1138556442172534,0.9838620942600403,6.432260751724243,0.776984126984127
3.0,61.0,0.0001,0.10174456962642595,0.9849624060150376,6.934683322906494,0.7527777777777778
3.0,62.0,0.0001,0.11497557182815478,0.9836787089675408,6.81125944852829,0.7770833333333333
3.0,63.0,0.0001,0.07167545605290092,0.988813497157528,7.523426711559296,0.7320436507936507
3.0,64.0,0.0001,0.05806512606303644,0.991197505960022,6.373720049858093,0.7458333333333332
3.0,65.0,0.0001,0.05728393362982388,0.9913808912525216,6.4867885410785675,0.7491071428571429
3.0,66.0,0.0001,0.0526943550512985,0.9915642765450211,6.37594136595726,0.7805555555555556
3.0,67.0,0.0001,0.04930322074988227,0.9900971942050247,7.375759184360504,0.7493055555555554
3.0,68.0,0.0001,0.0874934410318478,0.9877131854025307,7.076559484004974,0.7665674603174603
3.0,69.0,0.0001,0.059584835564164475,0.9913808912525216,7.924136638641357,0.7700396825396825
3.0,70.0,0.0001,0.06356832809448952,0.988813497157528,7.370727062225342,0.7422619047619048
3.0,71.0,0.0001,0.0666846666333117,0.9893636530350266,7.748993337154388,0.7492063492063492
3.0,72.0,0.0001,0.12229826667026317,0.982395011920044,7.634966015815735,0.7386904761904762
3.0,73.0,0.0001,0.07674362293353601,0.9895470383275261,7.075029969215393,0.7700396825396825
3.0,74.0,0.0001,0.04310731004384216,0.9917476618375206,7.810428321361542,0.759623015873016
3.0,75.0,0.0001,0.04315059271916331,0.9926645883000184,7.466828107833862,0.745734126984127
3.0,76.0,0.0001,0.07460058501339561,0.9889968824500275,8.426272749900818,0.7735119047619048
3.0,77.0,0.0001,0.10358538748777286,0.984412250137539,8.151254117488861,0.762797619047619
3.0,78.0,0.0001,0.08538028441143204,0.9882633412800294,7.949581980705261,0.7663690476190476
3.0,79.0,0.0001,0.05825343168451471,0.9910141206675225,8.76324737071991,0.7455357142857143
3.0,80.0,0.0001,0.031718035774151006,0.993581514762516,8.354657590389252,0.7628968253968255
